15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.quoting.quote(['is_html_string', 'is_valid_id', 'dot_keywords', 'endswith_odd_number_of_backslashes', 'escape_unescaped_quotes'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.quoting.a_list(['kwargs', 'attributes'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.quoting.attr_list(['kwargs', 'attributes'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.clear(['self', 'keep_attrs'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.__iter__(['self', 'subgraph'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.node(['label', '_attributes'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.edge(['label', '_attributes'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.attr(['kw', '_attributes'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.subgraph(['graph', 'name', 'comment', 'graph_attr', 'node_attr', 'edge_attr', 'body'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.quoting.quote(['is_html_string', 'is_valid_id', 'dot_keywords', 'endswith_odd_number_of_backslashes', 'escape_unescaped_quotes'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.quoting.a_list(['kwargs', 'attributes'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.quoting.attr_list(['kwargs', 'attributes'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.clear(['self', 'keep_attrs'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.__iter__(['self', 'subgraph'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.node(['label', '_attributes'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.edge(['label', '_attributes'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.attr(['kw', '_attributes'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.piping.Pipe._pipe_legacy(['format', 'renderer', 'formatter', 'neato_no_op', 'quiet'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.subgraph(['graph', 'name', 'comment', 'graph_attr', 'node_attr', 'edge_attr', 'body'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.piping.Pipe._pipe_legacy(['format', 'renderer', 'formatter', 'neato_no_op', 'quiet'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.saving.Save.save(['filename', 'directory'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.rendering.Render.render(['filename', 'directory', 'view', 'cleanup', 'format', 'renderer', 'formatter', 'neato_no_op', 'quiet', 'quiet_view'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.rendering.Render.view(['filename', 'directory', 'cleanup', 'quiet', 'quiet_view'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.unflattening.Unflatten.unflatten(['self', 'stagger', 'fanout', 'chain'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.saving.Save.save(['filename', 'directory'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.graphs.BaseGraph.__init__(['name', 'comment', 'filename', 'directory', 'format', 'engine', 'encoding', 'graph_attr', 'node_attr', 'edge_attr', 'body', 'strict'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.rendering.Render.render(['filename', 'directory', 'view', 'cleanup', 'format', 'renderer', 'formatter', 'neato_no_op', 'quiet', 'quiet_view'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.rendering.Render.view(['filename', 'directory', 'cleanup', 'quiet', 'quiet_view'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.sources.Source.from_file(['filename', 'directory', 'format', 'engine', 'encoding', 'renderer', 'formatter'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.unflattening.Unflatten.unflatten(['self', 'stagger', 'fanout', 'chain'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.sources.Source.__init__(['source', 'filename', 'directory', 'format', 'engine', 'encoding'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.graphs.BaseGraph.__init__(['name', 'comment', 'filename', 'directory', 'format', 'engine', 'encoding', 'graph_attr', 'node_attr', 'edge_attr', 'body', 'strict'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.sources.Source.save(['filename', 'directory'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.sources.Source.from_file(['filename', 'directory', 'format', 'engine', 'encoding', 'renderer', 'formatter'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.sources.Source.__init__(['source', 'filename', 'directory', 'format', 'engine', 'encoding'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.sources.Source.save(['filename', 'directory'])
